Plate,Row,Column,Well,WellType,RFU,Pct_Activity
Plate 1,E,11,E11,Experimental,30089,99.54
Plate 1,G,13,G13,Experimental,29926,98.99
Plate 1,B,8,B08,Experimental,29818,98.63
Plate 1,K,9,K09,Experimental,29123,96.31
Plate 1,L,3,L03,Experimental,28059,92.76
Plate 1,L,19,L19,Experimental,27688,91.52
Plate 1,A,7,A07,Experimental,27633,91.33
Plate 1,F,16,F16,Experimental,27399,90.55
Plate 1,A,4,A04,Experimental,27184,89.83
Plate 1,D,11,D11,Experimental,26823,88.63
Plate 1,O,16,O16,Experimental,26802,88.56
Plate 1,A,21,A21,Experimental,26725,88.3
Plate 1,H,10,H10,Experimental,26628,87.97
Plate 1,P,13,P13,Experimental,26609,87.91
Plate 1,L,7,L07,Experimental,26530,87.65
Plate 1,F,3,F03,Experimental,26222,86.62
Plate 1,C,18,C18,Experimental,25849,85.37
Plate 1,F,22,F22,Experimental,25457,84.06
Plate 1,N,3,N03,Experimental,25443,84.02
Plate 1,M,19,M19,Experimental,25221,83.27
Plate 1,K,17,K17,Experimental,25135,82.99
Plate 1,L,9,L09,Experimental,24305,80.21
Plate 1,G,19,G19,Experimental,24268,80.09
Plate 1,N,15,N15,Experimental,24264,80.08
Plate 1,I,20,I20,Experimental,24084,79.47
Plate 1,J,10,J10,Experimental,23711,78.23
Plate 1,I,11,I11,Experimental,23664,78.07
Plate 1,I,12,I12,Experimental,23430,77.29
Plate 1,K,14,K14,Experimental,23259,76.72
Plate 1,C,7,C07,Experimental,23247,76.68
Plate 1,C,20,C20,Experimental,23028,75.95
Plate 1,C,12,C12,Experimental,22804,75.2
Plate 1,D,20,D20,Experimental,22749,75.01
Plate 2,M,9,M09,Experimental,29702,99.79
Plate 2,O,5,O05,Experimental,29261,98.29
Plate 2,P,14,P14,Experimental,29232,98.19
Plate 2,B,15,B15,Experimental,29129,97.84
Plate 2,J,6,J06,Experimental,28922,97.14
Plate 2,E,13,E13,Experimental,28741,96.53
Plate 2,G,12,G12,Experimental,28715,96.44
Plate 2,C,16,C16,Experimental,28596,96.04
Plate 2,M,11,M11,Experimental,28436,95.49
Plate 2,O,13,O13,Experimental,28276,94.95
Plate 2,A,21,A21,Experimental,28205,94.71
Plate 2,D,17,D17,Experimental,27236,91.42
Plate 2,D,3,D03,Experimental,27026,90.7
Plate 2,B,14,B14,Experimental,26695,89.58
Plate 2,E,11,E11,Experimental,26413,88.62
Plate 2,L,8,L08,Experimental,26144,87.71
Plate 2,M,20,M20,Experimental,26143,87.71
Plate 2,D,16,D16,Experimental,25375,85.1
Plate 2,K,7,K07,Experimental,25305,84.86
Plate 2,M,5,M05,Experimental,25256,84.69
Plate 2,K,3,K03,Experimental,25202,84.51
Plate 2,K,21,K21,Experimental,24957,83.68
Plate 2,H,16,H16,Experimental,24754,82.99
Plate 2,G,15,G15,Experimental,24650,82.64
Plate 2,C,12,C12,Experimental,24544,82.28
Plate 2,J,20,J20,Experimental,24371,81.69
Plate 2,N,16,N16,Experimental,24368,81.68
Plate 2,P,18,P18,Experimental,24363,81.66
Plate 2,J,21,J21,Experimental,24162,80.98
Plate 2,H,22,H22,Experimental,24103,80.78
Plate 2,G,22,G22,Experimental,23898,80.08
Plate 2,G,11,G11,Experimental,23735,79.53
Plate 2,B,8,B08,Experimental,23579,79.0
Plate 2,E,17,E17,Experimental,23447,78.55
Plate 2,B,5,B05,Experimental,23395,78.38
Plate 2,M,8,M08,Experimental,23210,77.75
Plate 2,A,9,A09,Experimental,23141,77.51
Plate 2,I,10,I10,Experimental,23120,77.44
Plate 2,G,16,G16,Experimental,22844,76.51
Plate 2,K,16,K16,Experimental,22806,76.38
Plate 2,J,17,J17,Experimental,22784,76.3
Plate 2,F,9,F09,Experimental,22713,76.06
Plate 2,H,9,H09,Experimental,22688,75.98
Plate 2,H,6,H06,Experimental,22632,75.79
Plate 2,I,7,I07,Experimental,22510,75.37
Plate 2,L,12,L12,Experimental,22488,75.3
Plate 2,M,17,M17,Experimental,22461,75.2
Plate 2,P,21,P21,Experimental,22410,75.03
Plate 3,B,21,B21,Experimental,29796,99.9
Plate 3,D,21,D21,Experimental,28993,97.18
Plate 3,N,9,N09,Experimental,28737,96.32
Plate 3,M,14,M14,Experimental,27533,92.24
Plate 3,O,20,O20,Experimental,27334,91.57
Plate 3,A,9,A09,Experimental,26829,89.86
Plate 3,L,15,L15,Experimental,26413,88.45
Plate 3,B,5,B05,Experimental,26193,87.7
Plate 3,C,7,C07,Experimental,25802,86.38
Plate 3,A,7,A07,Experimental,25801,86.37
Plate 3,A,5,A05,Experimental,25760,86.24
Plate 3,O,5,O05,Experimental,25563,85.57
Plate 3,L,12,L12,Experimental,25434,85.13
Plate 3,P,3,P03,Experimental,25200,84.34
Plate 3,P,4,P04,Experimental,25053,83.84
Plate 3,M,22,M22,Experimental,24700,82.65
Plate 3,J,11,J11,Experimental,24560,82.17
Plate 3,A,22,A22,Experimental,24525,82.05
Plate 3,H,7,H07,Experimental,24432,81.74
Plate 3,M,11,M11,Experimental,24378,81.56
Plate 3,M,12,M12,Experimental,24192,80.93
Plate 3,O,22,O22,Experimental,24178,80.88
Plate 3,B,18,B18,Experimental,24106,80.63
Plate 3,H,9,H09,Experimental,23754,79.44
Plate 3,E,18,E18,Experimental,23718,79.32
Plate 3,G,22,G22,Experimental,23605,78.94
Plate 3,N,3,N03,Experimental,23420,78.31
Plate 3,L,10,L10,Experimental,23369,78.14
Plate 3,P,19,P19,Experimental,23295,77.89
Plate 3,F,19,F19,Experimental,22943,76.7
