Row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,0.42,29.73,50.76,60.94,28.44,49.93,49.84,2.21,77.51,66.18,32.88,45.21,63.6,42.77,43.28,10.4,64.93,53.24,57.32,8.4,94.71,54.06,-0.14,114.58
B,-0.05,23.04,38.86,-0.38,78.38,38.56,29.7,79.0,5.02,64.41,-0.38,31.88,17.16,89.58,97.84,40.92,72.71,44.98,65.3,29.42,3.47,0.89,0.06,116.06
C,0.03,29.33,101.81,56.32,52.63,56.73,46.27,41.47,10.89,63.49,47.3,82.28,39.85,-0.38,47.17,96.04,39.46,25.7,17.45,21.35,41.72,17.82,0.36,98.88
D,-0.01,42.66,90.7,44.09,58.89,69.84,44.63,1.57,67.65,74.16,61.16,24.78,44.54,33.82,41.73,85.1,91.42,68.05,64.77,68.25,49.54,47.81,-0.22,100.42
E,0.57,38.8,40.58,37.05,26.39,60.04,60.51,10.67,63.08,34.4,88.62,54.13,96.53,37.42,42.05,58.01,78.55,65.24,16.36,54.84,50.47,38.22,-0.22,112.67
F,-0.15,27.15,67.17,53.42,47.81,71.09,63.14,59.71,76.06,57.58,33.11,40.03,35.72,55.57,20.59,0.1,52.27,13.57,-0.38,60.01,30.56,63.35,-0.19,93.18
G,-0.38,29.4,42.44,27.5,42.24,8.15,50.26,1.15,44.61,68.81,79.53,96.44,7.6,70.48,82.64,76.51,24.63,61.06,100.39,9.2,62.81,80.08,-0.23,104.76
H,-0.33,27.38,27.68,55.09,47.4,75.79,24.33,46.3,75.98,65.1,13.89,67.94,36.87,60.34,58.04,82.99,53.04,-0.38,12.66,69.73,42.85,80.78,0.03,95.71
I,0.25,95.32,-0.38,105.93,-0.38,67.16,75.37,53.87,4.14,77.44,10.71,13.37,40.05,71.29,58.02,71.89,37.82,45.19,18.98,41.26,65.98,41.73,36.12,96.91
J,-0.2,101.07,44.58,65.96,54.71,97.14,43.91,43.7,21.62,50.49,68.42,29.76,48.52,69.39,46.42,35.77,76.3,52.51,60.64,81.69,80.98,40.44,29.33,102.73
K,-0.08,87.9,84.51,50.39,69.87,18.01,84.86,33.89,46.95,11.8,45.34,43.63,44.84,61.78,51.51,76.38,37.15,22.81,49.35,66.94,83.68,71.98,20.91,103.36
L,0.35,101.23,35.85,58.27,36.2,67.23,49.52,87.71,63.44,30.21,66.3,75.3,34.43,38.3,-0.38,74.41,33.9,-0.38,1.82,43.81,70.53,47.45,36.1,93.32
M,-0.41,106.82,63.24,49.04,84.69,24.03,38.45,77.75,99.79,50.1,95.49,33.5,58.83,45.15,6.73,56.88,75.2,45.84,47.96,87.71,15.93,9.19,28.45,92.67
N,0.32,102.9,26.4,33.18,127.58,33.3,29.17,58.14,67.21,55.89,25.19,18.38,66.06,48.4,5.28,81.68,70.93,43.33,42.8,56.16,31.21,13.25,35.09,91.03
O,0.07,91.01,47.18,46.18,98.29,20.96,11.44,32.32,19.35,33.85,61.3,70.84,94.95,29.86,121.54,103.71,44.34,-0.38,47.61,51.84,-0.38,51.88,31.53,95.46
P,0.13,107.63,36.66,56.1,32.08,28.51,52.03,64.09,34.57,-0.38,65.78,6.5,53.18,98.19,49.41,17.55,10.18,81.66,49.41,64.53,75.03,48.54,30.8,94.37
