Row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,243.0,11507.0,14643.0,18614.0,25760.0,19258.0,25801.0,21889.0,26829.0,6636.0,8688.0,4907.0,19502.0,13053.0,22309.0,17538.0,16018.0,32203.0,19850.0,14785.0,7126.0,24525.0,376.0,27825.0
B,288.0,10475.0,1887.0,12774.0,26193.0,2079.0,18926.0,30141.0,10032.0,11369.0,16739.0,19114.0,18177.0,2897.0,8887.0,15810.0,12461.0,24106.0,12423.0,12039.0,29796.0,14346.0,221.0,29995.0
C,281.0,11421.0,18625.0,12338.0,11924.0,10757.0,25802.0,31121.0,14539.0,19517.0,17876.0,10904.0,10814.0,11149.0,200.0,8940.0,18627.0,22378.0,13341.0,11992.0,20119.0,31429.0,225.0,28450.0
D,265.0,11095.0,8166.0,18725.0,9232.0,19498.0,12481.0,11560.0,21519.0,5516.0,8850.0,20833.0,21127.0,16662.0,200.0,20775.0,17790.0,12291.0,200.0,21647.0,28993.0,19009.0,406.0,28684.0
E,314.0,8697.0,6035.0,12227.0,7709.0,9030.0,8832.0,11688.0,12665.0,16014.0,5021.0,17537.0,452.0,15445.0,15646.0,200.0,12271.0,23718.0,18604.0,11045.0,10627.0,17336.0,312.0,31634.0
F,311.0,11810.0,18205.0,8883.0,6863.0,10784.0,18269.0,8057.0,22134.0,2687.0,12886.0,7541.0,17503.0,16094.0,13786.0,5105.0,7940.0,9714.0,22943.0,9849.0,19009.0,22359.0,232.0,28967.0
G,123.0,9193.0,20706.0,7426.0,17810.0,21308.0,17880.0,11494.0,16826.0,9596.0,11645.0,34093.0,10933.0,9510.0,16239.0,17222.0,21037.0,8920.0,6562.0,7178.0,20978.0,23605.0,239.0,28978.0
H,297.0,8081.0,11016.0,22507.0,5215.0,17948.0,24432.0,6391.0,23754.0,15036.0,10718.0,21947.0,15583.0,13079.0,10377.0,8266.0,10572.0,13067.0,21097.0,12979.0,17333.0,11882.0,338.0,29855.0
I,401.0,30514.0,1685.0,14026.0,11467.0,22641.0,15159.0,21902.0,20948.0,9699.0,12558.0,15331.0,6464.0,38000.0,19202.0,4784.0,3686.0,16013.0,11921.0,2592.0,1233.0,15143.0,9069.0,30800.0
J,290.0,32201.0,357.0,19815.0,8491.0,7512.0,22704.0,200.0,14295.0,12105.0,24560.0,3307.0,17801.0,18787.0,14852.0,15861.0,13753.0,3292.0,10732.0,200.0,22519.0,22604.0,7177.0,32409.0
K,285.0,26953.0,9143.0,19601.0,14174.0,6367.0,20246.0,13202.0,10890.0,4941.0,19018.0,21713.0,6554.0,12532.0,12727.0,16200.0,6245.0,30863.0,17140.0,22027.0,12340.0,31737.0,10881.0,26375.0
L,379.0,29900.0,6463.0,14525.0,7767.0,20622.0,19868.0,3851.0,20269.0,23369.0,200.0,25434.0,20287.0,21579.0,26413.0,14610.0,8063.0,17969.0,13709.0,18596.0,200.0,11673.0,15184.0,30749.0
M,379.0,30678.0,12206.0,21750.0,20935.0,12184.0,13476.0,20378.0,8602.0,8242.0,24378.0,24192.0,13449.0,27533.0,21863.0,18278.0,10927.0,21175.0,10729.0,14430.0,10046.0,24700.0,10281.0,30039.0
N,354.0,34979.0,23420.0,2727.0,15121.0,15936.0,10538.0,7343.0,28737.0,21222.0,22570.0,18140.0,21899.0,19185.0,16612.0,13679.0,7298.0,9389.0,14754.0,7948.0,17825.0,7869.0,11581.0,27216.0
O,326.0,32559.0,21937.0,10832.0,25563.0,15325.0,17920.0,14638.0,1091.0,19563.0,18479.0,21071.0,7209.0,21439.0,9843.0,5638.0,6792.0,16646.0,11765.0,27334.0,21401.0,24178.0,9675.0,27850.0
P,171.0,29555.0,25200.0,25053.0,1803.0,17203.0,20668.0,7140.0,15139.0,9239.0,16251.0,16634.0,12410.0,14108.0,9576.0,15884.0,200.0,18822.0,23295.0,4448.0,13446.0,19702.0,8586.0,28627.0
