Row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,170.0,9796.0,521.0,17101.0,17079.0,11951.0,14981.0,17732.0,22180.0,12111.0,28251.0,5487.0,28331.0,200.0,11177.0,25950.0,17065.0,20618.0,22107.0,20777.0,3943.0,7052.0,286.0,30575.0
B,323.0,9624.0,12055.0,26606.0,16753.0,18560.0,13315.0,10944.0,18200.0,23140.0,24687.0,18625.0,4155.0,21361.0,2430.0,5721.0,9858.0,8574.0,22188.0,18563.0,20027.0,9488.0,311.0,32528.0
C,202.0,8956.0,10459.0,6962.0,16577.0,20814.0,17205.0,16134.0,27420.0,9175.0,14301.0,25387.0,20429.0,2355.0,34415.0,22911.0,20889.0,8427.0,9536.0,24915.0,17400.0,15475.0,369.0,27093.0
D,342.0,9549.0,24046.0,14117.0,10386.0,8213.0,19649.0,1735.0,28114.0,14537.0,18248.0,810.0,7719.0,38000.0,16013.0,19179.0,2990.0,200.0,8403.0,23011.0,23209.0,7377.0,253.0,30011.0
E,111.0,10386.0,21691.0,22640.0,16407.0,11109.0,16493.0,11766.0,5213.0,10824.0,11755.0,34324.0,9473.0,15035.0,13074.0,7672.0,17785.0,3934.0,10124.0,15494.0,17594.0,23533.0,372.0,26358.0
F,451.0,9277.0,38000.0,29438.0,8946.0,13510.0,18524.0,32552.0,19979.0,11031.0,16234.0,14165.0,14834.0,20558.0,23013.0,19753.0,5710.0,8173.0,13642.0,15556.0,9890.0,21173.0,250.0,28760.0
G,228.0,10340.0,7677.0,19343.0,16107.0,19074.0,13691.0,11712.0,8617.0,18062.0,23299.0,27301.0,14991.0,4998.0,6741.0,20988.0,16587.0,6587.0,20577.0,33241.0,2481.0,18514.0,283.0,29315.0
H,225.0,4000.0,2084.0,13880.0,4268.0,3994.0,34807.0,6288.0,30500.0,6297.0,8789.0,14832.0,24436.0,19803.0,13470.0,20348.0,28964.0,17081.0,18849.0,2069.0,8397.0,19473.0,438.0,26303.0
I,319.0,31291.0,23983.0,3110.0,7193.0,19200.0,5232.0,14518.0,14493.0,18733.0,11826.0,19561.0,15663.0,23153.0,15210.0,8740.0,17707.0,16063.0,13829.0,27353.0,15146.0,11914.0,8369.0,25852.0
J,273.0,29547.0,19466.0,13498.0,6048.0,17302.0,13424.0,12267.0,25583.0,18868.0,19617.0,10417.0,5433.0,12013.0,11783.0,14593.0,21385.0,21044.0,18762.0,20015.0,7147.0,24943.0,10068.0,30801.0
K,365.0,29932.0,1465.0,7635.0,19115.0,8467.0,200.0,14379.0,1596.0,15985.0,10685.0,23470.0,6176.0,5462.0,23372.0,4959.0,20844.0,19457.0,38000.0,6871.0,19137.0,2020.0,11115.0,27068.0
L,301.0,30131.0,22581.0,13668.0,16604.0,15571.0,15512.0,8483.0,19558.0,12084.0,17678.0,6998.0,14373.0,18524.0,13090.0,9532.0,5309.0,12292.0,13262.0,15662.0,9855.0,21340.0,11316.0,30633.0
M,289.0,29344.0,14138.0,14955.0,2907.0,12111.0,14039.0,4520.0,3911.0,9482.0,31744.0,24988.0,18445.0,7024.0,19918.0,16999.0,8776.0,13854.0,17558.0,14699.0,26710.0,15191.0,11061.0,29139.0
N,210.0,28953.0,19024.0,12983.0,19858.0,19279.0,15693.0,4169.0,11891.0,12181.0,15271.0,6638.0,18701.0,27706.0,18046.0,18080.0,200.0,9315.0,14272.0,6963.0,20661.0,16926.0,11083.0,26811.0
O,199.0,32268.0,4005.0,16620.0,13735.0,32668.0,6048.0,4593.0,16287.0,22623.0,24544.0,7142.0,20401.0,200.0,26710.0,17914.0,200.0,14982.0,7383.0,8239.0,25364.0,7927.0,7681.0,32367.0
P,366.0,28440.0,6391.0,13824.0,24338.0,17808.0,20033.0,13925.0,9748.0,7947.0,11986.0,4468.0,11232.0,12512.0,4771.0,10640.0,12830.0,23685.0,28810.0,12825.0,14203.0,4861.0,11851.0,33732.0
