Row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,-0.17,37.97,48.59,62.04,86.24,64.22,86.37,73.13,89.86,21.48,28.42,15.62,65.04,43.21,74.55,58.39,53.25,108.05,66.22,49.07,23.14,82.05,0.28,93.23
B,-0.02,34.48,5.39,42.26,87.7,6.04,63.09,101.07,32.98,37.5,55.69,63.73,60.56,8.81,29.1,52.54,41.2,80.63,41.07,39.77,99.9,47.58,-0.25,100.58
C,-0.04,37.68,62.07,40.78,39.38,35.43,86.38,104.39,48.24,65.1,59.54,35.93,35.62,36.76,-0.32,29.28,62.08,74.78,44.18,39.61,67.13,105.43,-0.23,95.34
D,-0.1,36.58,26.66,62.41,30.27,65.03,41.27,38.15,71.87,17.68,28.97,69.55,70.55,55.43,-0.32,69.36,59.25,40.63,-0.32,72.31,97.18,63.37,0.38,96.14
E,0.07,28.46,19.44,40.41,25.11,29.58,28.91,38.58,41.89,53.23,16.01,58.39,0.54,51.31,51.99,-0.32,40.56,79.32,62.0,36.41,34.99,57.71,0.06,106.13
F,0.06,39.0,60.65,29.09,22.24,35.52,60.87,26.29,73.96,8.1,42.64,24.54,58.28,53.5,45.69,16.29,25.89,31.9,76.7,32.36,63.37,74.72,-0.21,97.1
G,-0.58,30.13,69.12,24.15,59.31,71.16,59.55,37.93,55.98,31.5,38.44,114.45,36.03,31.21,53.99,57.32,70.24,29.21,21.23,23.31,70.04,78.94,-0.19,97.13
H,0.01,26.37,36.31,75.22,16.66,59.78,81.74,20.65,79.44,49.92,35.3,73.32,51.77,43.29,34.14,27.0,34.8,43.25,70.45,42.96,57.7,39.24,0.15,100.1
I,0.36,102.33,4.71,46.5,37.84,75.67,50.34,73.17,69.94,31.85,41.53,50.92,20.89,127.68,64.03,15.2,11.49,53.23,39.37,7.78,3.18,50.28,29.71,103.3
J,-0.01,108.05,0.21,66.1,27.76,24.44,75.89,-0.32,47.41,40.0,82.17,10.2,59.28,62.62,49.3,52.71,45.58,10.15,35.35,-0.32,75.26,75.55,23.31,108.75
K,-0.03,90.28,29.97,65.38,47.0,20.57,67.56,43.71,35.88,15.74,63.41,72.53,21.2,41.44,42.1,53.86,20.15,103.52,57.05,73.59,40.79,106.48,35.85,88.32
L,0.29,100.26,20.89,48.19,25.31,68.84,66.28,12.05,67.64,78.14,-0.32,85.13,67.7,72.08,88.45,48.48,26.31,59.85,45.43,61.98,-0.32,38.53,50.42,103.13
M,0.29,102.89,40.34,72.66,69.9,40.26,44.64,68.01,28.13,26.91,81.56,80.93,44.55,92.24,73.04,60.9,36.01,70.71,35.34,47.87,33.02,82.65,33.82,100.73
N,0.2,117.45,78.31,8.24,50.21,52.97,34.69,23.87,96.32,70.87,75.43,60.43,73.16,63.97,55.26,45.33,23.72,30.8,48.97,25.92,59.37,25.65,38.22,91.17
O,0.11,109.26,73.29,35.68,85.57,50.9,59.69,48.57,2.7,65.25,61.58,70.36,23.42,71.6,32.34,18.1,22.0,55.37,38.84,91.57,71.47,80.88,31.77,93.31
P,-0.42,99.09,84.34,83.84,5.11,57.26,68.99,23.18,50.27,30.29,54.04,55.33,41.03,46.78,31.43,52.79,-0.32,62.74,77.89,14.07,44.54,65.72,28.08,95.94
